Generacion,k,e,aa,da,af,df,puntos
0,11,3,11,3,3,7,59
0,101,2,10,8,3,4,55
0,1,4,16,3,3,9,53
0,33,3,9,19,1,4,53
0,21,2,10,3,1,2,52
0,39,3,5,13,3,10,47
0,66,4,20,7,9,10,45
0,11,2,8,3,9,4,42
0,27,1,16,16,7,10,42
0,76,4,20,10,4,9,40
0,51,3,4,16,7,1,36
0,1,3,12,10,7,2,33
0,52,3,3,12,7,9,32
0,61,1,1,9,7,2,28
0,9,1,15,10,8,7,27
0,90,1,17,14,5,0,12
1,11,3,11,3,3,7,60
1,11,3,11,3,3,7,60
1,1,4,16,3,3,9,51
1,101,2,10,8,3,4,49
1,101,2,10,8,9,4,48
1,101,3,11,8,3,7,48
1,21,2,10,19,1,2,47
1,1,3,11,3,3,9,45
1,33,3,12,19,1,4,42
1,101,2,9,19,3,4,41
1,101,2,20,7,4,7,40
1,21,3,10,13,1,2,35
1,66,4,2,7,9,10,31
1,66,4,5,7,9,10,27
1,39,3,5,3,10,10,21
1,11,3,11,3,10,9,17
2,11,3,11,3,3,7,55
2,11,3,11,3,3,7,55
2,11,3,11,3,3,7,55
2,11,3,11,3,3,7,55
2,11,3,11,3,3,7,55
2,14,2,10,8,1,4,55
2,101,2,11,8,3,4,53
2,101,2,10,8,3,4,50
2,9,3,1,8,3,7,50
2,21,2,10,19,1,8,46
2,101,3,11,8,3,7,43
2,21,2,10,19,1,2,39
2,101,2,16,3,9,9,27
2,21,4,10,3,9,9,24
2,101,2,16,3,3,0,15
2,101,3,11,3,3,0,7
3,11,3,11,3,3,7,54
3,11,3,11,3,3,7,54
3,11,3,11,3,3,7,54
3,11,3,11,3,3,7,54
3,11,3,11,3,3,7,54
3,25,3,11,3,3,7,54
3,101,2,10,8,3,4,54
3,11,3,11,3,3,7,54
3,101,2,11,8,3,4,49
3,11,3,17,3,3,7,38
3,14,3,10,3,1,7,27
3,11,3,11,9,3,7,26
3,11,3,12,2,3,7,26
3,11,3,7,3,3,9,25
3,11,3,11,8,3,7,24
3,101,2,11,3,3,7,11
4,55,3,12,12,3,7,59
4,34,2,11,8,3,4,48
4,11,3,11,3,3,7,46
4,11,3,11,3,3,7,46
4,11,3,11,3,3,7,46
4,25,3,11,3,3,7,46
4,11,3,11,3,3,7,46
4,11,3,11,3,3,7,46
4,11,3,11,3,3,7,46
4,25,3,11,3,3,7,46
4,11,3,11,3,3,2,37
