Generacion,k,e,aa,da,af,df,puntos
0,101,2,10,8,3,4,26
0,11,3,11,3,3,7,26
0,21,2,10,3,1,2,21
0,51,3,4,16,7,1,16
0,66,4,20,7,9,10,12
0,39,3,5,13,3,10,10
0,76,4,20,10,4,9,10
0,1,3,12,10,7,2,9
0,27,1,16,16,7,10,9
0,1,4,16,3,3,9,7
0,33,3,9,19,1,4,7
0,52,3,3,12,7,9,5
0,61,1,1,9,7,2,4
0,11,2,8,3,9,4,3
0,9,1,15,10,8,7,3
0,90,1,17,14,5,0,0
1,101,2,10,8,3,4,23
1,11,3,11,3,3,7,21
1,101,2,10,8,4,4,20
1,39,3,15,5,6,8,19
1,101,2,10,8,3,4,11
1,65,3,12,12,5,8,9
1,26,3,7,8,3,8,8
1,57,3,10,12,7,3,8
1,61,3,14,11,3,9,8
1,21,2,10,3,7,2,7
1,59,3,12,10,8,4,7
1,23,4,8,7,3,8,6
1,59,3,9,13,5,3,6
1,21,2,10,3,1,4,5
1,62,3,14,11,3,0,3
1,31,4,14,4,5,8,2
2,101,2,10,8,3,4,27
2,86,2,10,9,4,6,19
2,84,2,10,5,3,5,19
2,31,3,13,4,4,7,15
2,27,3,13,4,4,7,10
2,65,2,8,8,3,5,10
2,70,2,8,8,3,5,9
2,11,3,11,3,3,7,8
2,52,3,10,8,3,4,8
2,1,2,10,5,3,5,7
2,90,2,10,9,4,5,7
2,101,2,10,4,3,4,7
2,51,3,10,10,4,8,6
2,73,1,12,6,4,5,4
2,43,3,9,9,3,8,3
2,56,2,13,5,3,2,2
3,72,2,11,5,3,6,30
3,86,2,10,9,4,6,21
3,19,2,12,5,3,6,19
3,55,2,11,5,8,5,15
3,101,2,10,8,3,4,12
3,91,2,16,6,3,4,9
3,57,2,12,6,3,5,9
3,31,2,12,5,4,6,9
3,52,3,9,6,10,5,8
3,55,2,9,6,3,5,7
3,77,2,9,6,3,5,7
3,71,2,8,8,3,5,5
3,68,2,10,7,4,6,5
3,75,2,8,8,3,5,5
