Generacion,k,e,aa,da,af,df,puntos
0,101,2,10,8,3,4,26
0,11,3,11,3,3,7,26
0,21,2,10,3,1,2,21
0,51,3,4,16,7,1,16
0,66,4,20,7,9,10,12
0,39,3,5,13,3,10,10
0,76,4,20,10,4,9,10
0,1,3,12,10,7,2,9
0,27,1,16,16,7,10,9
0,1,4,16,3,3,9,7
0,33,3,9,19,1,4,7
0,52,3,3,12,7,9,5
0,61,1,1,9,7,2,4
0,11,2,8,3,9,4,3
0,9,1,15,10,8,7,3
0,90,1,17,14,5,0,0
1,66,3,20,7,3,10,22
1,76,4,20,16,4,9,21
1,101,2,10,8,3,4,21
1,11,3,11,2,3,7,12
1,101,2,10,8,3,4,11
1,10,4,20,15,4,9,10
1,11,3,11,3,3,7,10
1,11,3,11,3,3,7,9
1,66,4,20,7,9,10,8
1,101,2,10,8,3,4,8
1,51,3,20,10,7,1,7
1,11,3,11,14,7,7,6
1,21,2,10,3,1,2,6
1,52,3,5,10,3,10,6
1,66,4,20,7,9,10,5
1,21,4,10,3,1,2,1
2,11,3,11,3,3,7,24
2,101,2,10,8,3,4,19
2,11,3,20,2,3,10,17
2,76,4,20,16,4,9,14
2,101,2,1,8,3,4,9
2,11,3,14,3,3,7,9
2,11,3,11,2,4,1,9
2,11,3,11,3,4,9,8
2,10,4,11,17,3,3,8
2,10,4,20,15,4,9,7
2,11,3,20,7,3,10,7
2,76,4,20,16,4,9,7
2,11,3,11,3,3,4,7
2,10,3,20,7,9,10,7
2,76,4,10,16,3,9,5
2,66,3,20,7,3,10,1
3,11,3,20,2,3,10,21
3,11,3,20,2,3,10,21
3,101,2,10,8,3,4,17
3,101,2,10,8,3,4,14
3,101,2,1,8,3,4,10
3,11,3,11,3,3,7,10
3,11,3,11,3,3,7,10
3,11,3,14,20,4,7,9
3,11,3,11,3,4,1,8
3,11,3,11,2,3,7,8
3,11,3,11,3,4,1,8
3,101,3,10,8,3,4,6
3,101,2,1,16,4,9,5
3,101,2,1,8,3,9,5
