0,1,1,3,5,6,1,56
0,27,1,16,16,7,10,46
0,1,1,7,8,3,3,41
0,9,1,15,10,8,7,41
0,1,1,4,4,2,2,40
0,31,1,2,1,1,2,40
0,1,1,10,11,4,5,40
0,76,4,20,10,4,9,36
0,52,3,3,12,7,9,35
0,1,2,7,1,4,10,35
0,39,3,5,13,3,10,34
0,33,3,9,19,1,4,34
0,1,1,11,5,3,7,33
0,66,4,20,7,9,10,30
0,1,1,3,1,8,10,26
0,90,1,17,14,5,0,21
1,1,1,3,5,6,1,73
1,9,1,15,10,8,7,43
1,1,1,3,8,6,4,41
1,9,1,16,10,7,10,41
1,1,1,10,11,4,5,39
1,1,1,7,11,4,5,39
1,1,1,7,4,3,2,38
1,27,1,16,16,7,10,38
1,1,1,4,4,2,2,36
1,1,1,4,4,2,2,36
1,25,1,7,4,7,2,31
1,31,1,2,10,8,7,29
1,1,1,7,5,3,1,27
1,31,1,2,10,1,2,25
1,31,1,2,1,7,10,24
1,27,1,2,16,7,2,20
2,1,1,3,5,6,1,52
2,1,1,3,5,6,1,52
2,1,1,7,10,7,10,42
2,9,1,7,11,8,7,35
