10
10
4
199,38,2,18,4,4,4,45
199,77,4,2,17,9,9,45
199,86,4,20,12,2,4,54
199,27,3,6,19,3,7,78
199,4,2,4,3,4,2,63
199,89,3,6,1,10,4,63
199,34,2,9,7,4,5,51
199,36,2,14,4,3,3,54
199,48,4,12,14,1,6,69
199,59,2,3,9,1,3,65
199,72,3,20,2,2,2,69
199,56,2,4,12,4,2,55
199,86,3,7,18,3,8,48
199,14,3,19,14,8,8,48
199,53,3,9,7,3,6,63
199,5,2,10,7,1,9,69
199,94,4,7,8,4,9,54
199,11,3,9,17,2,8,51
199,101,3,15,17,9,9,21
199,55,3,16,15,5,5,21
199,55,4,16,14,2,10,21
199,89,3,16,16,6,6,30
199,48,1,12,12,1,5,27
199,36,3,6,12,2,6,21
199,55,2,11,14,3,5,30
199,52,2,12,6,3,1,30
199,60,3,4,4,1,1,18
199,82,2,6,20,3,4,24
199,39,2,8,4,3,5,27
199,57,2,9,9,3,6,27
199,71,2,14,7,0,9,21
199,3,2,8,10,8,2,21
199,3,3,5,4,1,4,21
199,54,3,15,16,8,9,33
199,44,4,5,6,4,1,30
199,87,2,4,13,0,6,36
