12
8
6
199,68,2,14,16,10,8,80
199,21,2,11,8,9,2,48
199,45,3,0,20,5,1,50
199,82,4,17,1,5,3,73
199,31,4,11,17,1,9,55
199,2,2,19,5,4,8,58
199,55,2,9,10,5,3,71
199,40,2,0,20,4,2,63
199,42,1,3,12,4,3,54
199,30,3,15,8,10,8,59
199,84,1,6,20,8,3,67
199,62,3,1,13,7,2,58
199,61,4,18,15,3,7,45
199,70,1,7,18,9,9,43
199,77,1,8,11,9,8,45
199,41,3,8,14,8,4,79
199,84,4,16,3,3,8,50
199,98,3,9,2,4,4,64
199,51,2,10,8,9,4,24
199,57,3,9,10,3,3,20
199,82,4,3,9,5,4,12
199,50,1,9,6,9,7,30
199,101,4,19,16,7,5,21
199,47,1,5,16,8,8,25
199,101,2,10,7,8,4,33
199,70,2,6,7,1,8,21
199,57,2,6,6,4,4,29
199,42,2,10,3,2,5,22
199,18,1,8,12,7,10,23
199,41,2,10,12,4,4,21
199,25,2,18,8,10,4,18
199,61,4,8,4,4,2,30
199,10,2,17,11,6,4,32
199,84,4,1,14,9,3,21
199,46,3,8,20,2,5,30
199,16,3,4,13,4,3,22
