Generation #0
Puntaje: 27 [10, 2, 9, 6, 1, 7]
Puntaje: 24 [10, 2, 11, 6, 1, 9]
Puntaje: 21 [90, 1, 17, 14, 5, 0]
Puntaje: 19 [10, 2, 14, 6, 6, 2]
Puntaje: 15 [10, 2, 7, 6, 1, 5]
Puntaje: 12 [1, 3, 5, 3, 1, 3]
Puntaje: 12 [10, 2, 8, 6, 1, 6]
Puntaje: 9 [76, 4, 20, 10, 4, 9]
Puntaje: 8 [39, 3, 5, 13, 3, 10]
Puntaje: 7 [52, 3, 3, 12, 7, 9]
Puntaje: 6 [33, 3, 9, 19, 1, 4]
Puntaje: 4 [10, 1, 0, 3, 3, 6]
Puntaje: 3 [10, 1, 0, 1, 1, 8]
Puntaje: 3 [9, 1, 15, 10, 8, 7]
Puntaje: 3 [27, 1, 16, 16, 7, 10]
Puntaje: 0 [66, 4, 20, 7, 9, 10]
Generation #1
Puntaje: 23 [52, 2, 9, 6, 1, 7]
Puntaje: 21 [10, 2, 7, 6, 1, 5]
Puntaje: 21 [10, 2, 11, 6, 1, 9]
Puntaje: 18 [10, 2, 9, 6, 1, 7]
Puntaje: 12 [54, 2, 7, 6, 1, 5]
Puntaje: 12 [10, 2, 8, 15, 1, 6]
Puntaje: 12 [10, 2, 9, 6, 1, 7]
Puntaje: 9 [10, 2, 14, 6, 6, 2]
Puntaje: 9 [10, 2, 2, 6, 1, 3]
Puntaje: 9 [10, 2, 14, 6, 6, 2]
Puntaje: 9 [10, 2, 17, 6, 4, 0]
Puntaje: 9 [1, 2, 8, 6, 1, 6]
Puntaje: 5 [10, 2, 7, 6, 1, 9]
Puntaje: 4 [1, 3, 5, 3, 4, 6]
Puntaje: 3 [1, 2, 5, 3, 1, 3]
Puntaje: 0 [10, 2, 11, 14, 5, 0]
Generation #2
Puntaje: 24 [54, 2, 9, 6, 1, 7]
Puntaje: 24 [10, 2, 7, 6, 1, 5]
Puntaje: 21 [54, 2, 7, 6, 1, 5]
Puntaje: 21 [52, 2, 9, 6, 1, 7]
Puntaje: 15 [10, 2, 11, 6, 1, 9]
Puntaje: 12 [54, 2, 7, 6, 1, 5]
Puntaje: 12 [10, 2, 11, 6, 1, 9]
Puntaje: 12 [10, 2, 11, 6, 1, 9]
