Generation #0
Puntaje: 65 [10, 2, 7, 6, 1, 5]
Puntaje: 65 [1, 3, 5, 3, 1, 3]
Puntaje: 62 [10, 2, 8, 6, 1, 6]
Puntaje: 62 [10, 2, 9, 6, 1, 7]
Puntaje: 62 [10, 2, 11, 6, 1, 9]
Puntaje: 48 [90, 1, 17, 14, 5, 0]
Puntaje: 47 [76, 4, 20, 10, 4, 9]
Puntaje: 45 [39, 3, 5, 13, 3, 10]
Puntaje: 43 [10, 2, 14, 6, 6, 2]
Puntaje: 41 [52, 3, 3, 12, 7, 9]
Puntaje: 30 [10, 1, 0, 3, 3, 6]
Puntaje: 28 [9, 1, 15, 10, 8, 7]
Puntaje: 27 [33, 3, 9, 19, 1, 4]
Puntaje: 18 [10, 1, 0, 1, 1, 8]
Puntaje: 18 [66, 4, 20, 7, 9, 10]
Puntaje: 15 [27, 1, 16, 16, 7, 10]
Generation #1
Puntaje: 69 [1, 3, 5, 6, 1, 3]
Puntaje: 69 [10, 2, 11, 12, 1, 9]
Puntaje: 63 [10, 2, 7, 6, 1, 5]
Puntaje: 63 [1, 3, 5, 3, 1, 3]
Puntaje: 48 [54, 2, 8, 6, 1, 6]
Puntaje: 48 [90, 1, 17, 11, 5, 0]
Puntaje: 48 [10, 2, 8, 6, 1, 6]
Puntaje: 44 [10, 2, 2, 6, 1, 3]
Puntaje: 43 [76, 4, 20, 10, 1, 5]
Puntaje: 42 [90, 1, 17, 14, 5, 0]
Puntaje: 40 [1, 3, 19, 6, 1, 3]
Puntaje: 34 [10, 2, 7, 6, 4, 5]
Puntaje: 27 [90, 1, 17, 6, 10, 0]
Puntaje: 22 [10, 2, 20, 6, 4, 5]
Puntaje: 21 [10, 1, 8, 14, 1, 6]
Puntaje: 16 [10, 2, 5, 3, 1, 9]
Generation #2
Puntaje: 70 [1, 3, 5, 6, 1, 3]
Puntaje: 70 [10, 2, 11, 12, 1, 9]
Puntaje: 70 [10, 2, 11, 12, 1, 9]
Puntaje: 67 [1, 3, 5, 3, 1, 3]
Puntaje: 67 [54, 2, 7, 6, 1, 5]
Puntaje: 64 [54, 2, 8, 6, 1, 6]
Puntaje: 64 [10, 2, 8, 6, 1, 6]
Puntaje: 42 [90, 1, 17, 11, 5, 0]
Puntaje: 37 [54, 2, 8, 6, 1, 5]
Puntaje: 37 [54, 2, 8, 6, 1, 5]
Puntaje: 36 [90, 2, 7, 11, 5, 0]
Puntaje: 27 [10, 2, 15, 12, 1, 3]
Puntaje: 24 [10, 3, 8, 3, 9, 3]
Puntaje: 18 [90, 2, 8, 1, 5, 6]
Puntaje: 18 [10, 2, 11, 11, 1, 0]
Puntaje: 0 [10, 3, 5, 0, 1, 9]
Generation #3
Puntaje: 56 [1, 3, 5, 3, 1, 3]
Puntaje: 56 [54, 4, 8, 6, 1, 6]
Puntaje: 52 [1, 3, 5, 6, 1, 3]
Puntaje: 52 [1, 3, 5, 6, 1, 3]
Puntaje: 52 [1, 2, 11, 16, 1, 9]
Puntaje: 52 [10, 2, 11, 12, 1, 9]
Puntaje: 47 [10, 3, 11, 3, 1, 9]
Puntaje: 47 [10, 2, 11, 9, 1, 9]
Puntaje: 47 [10, 2, 8, 6, 1, 6]
Puntaje: 47 [10, 2, 8, 6, 1, 6]
Puntaje: 47 [54, 2, 8, 6, 1, 6]
Puntaje: 37 [1, 2, 7, 3, 1, 3]
Puntaje: 37 [54, 2, 7, 3, 1, 3]
Puntaje: 27 [79, 2, 11, 0, 1, 3]
Puntaje: 17 [54, 2, 7, 6, 1, 9]
Puntaje: 17 [10, 2, 5, 6, 1, 9]
Generation #4
Puntaje: 65 [1, 3, 5, 3, 1, 3]
Puntaje: 65 [54, 4, 8, 6, 1, 6]
Puntaje: 65 [1, 3, 5, 3, 1, 3]
