Generation #0
Puntaje: 65 [10, 2, 7, 6, 1, 5]
Puntaje: 65 [1, 3, 5, 3, 1, 3]
Puntaje: 62 [10, 2, 8, 6, 1, 6]
Puntaje: 62 [10, 2, 9, 6, 1, 7]
Puntaje: 62 [10, 2, 11, 6, 1, 9]
Puntaje: 48 [90, 1, 17, 14, 5, 0]
Puntaje: 47 [76, 4, 20, 10, 4, 9]
Puntaje: 45 [39, 3, 5, 13, 3, 10]
Puntaje: 43 [10, 2, 14, 6, 6, 2]
Puntaje: 41 [52, 3, 3, 12, 7, 9]
Puntaje: 30 [10, 1, 0, 3, 3, 6]
Puntaje: 28 [9, 1, 15, 10, 8, 7]
Puntaje: 27 [33, 3, 9, 19, 1, 4]
Puntaje: 18 [10, 1, 0, 1, 1, 8]
Puntaje: 18 [66, 4, 20, 7, 9, 10]
Puntaje: 15 [27, 1, 16, 16, 7, 10]
Generation #1
Puntaje: 60 [10, 2, 7, 6, 1, 5]
Puntaje: 60 [1, 3, 5, 3, 1, 3]
Puntaje: 60 [10, 2, 7, 6, 1, 5]
Puntaje: 60 [10, 2, 7, 6, 1, 5]
Puntaje: 60 [10, 2, 7, 6, 1, 5]
Puntaje: 60 [1, 3, 5, 3, 1, 3]
Puntaje: 60 [1, 3, 9, 3, 1, 7]
Puntaje: 58 [1, 3, 5, 6, 1, 3]
Puntaje: 57 [10, 2, 8, 6, 1, 6]
Puntaje: 57 [10, 2, 9, 6, 1, 7]
Puntaje: 57 [10, 2, 8, 6, 1, 6]
Puntaje: 21 [1, 3, 9, 3, 1, 0]
Puntaje: 18 [10, 3, 7, 6, 1, 4]
Puntaje: 12 [10, 2, 9, 6, 1, 6]
Puntaje: 11 [10, 2, 8, 6, 10, 6]
Puntaje: 7 [10, 2, 9, 2, 1, 7]
Generation #2
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [1, 3, 5, 3, 1, 3]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [1, 3, 5, 3, 1, 3]
Puntaje: 47 [28, 2, 7, 6, 1, 5]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 47 [10, 2, 7, 6, 1, 5]
Puntaje: 44 [1, 2, 5, 6, 1, 3]
Puntaje: 30 [10, 2, 0, 6, 1, 5]
Puntaje: 5 [10, 1, 7, 6, 1, 5]
Generation #3
Puntaje: 54 [10, 2, 7, 6, 1, 5]
Puntaje: 54 [10, 2, 7, 6, 1, 5]
Puntaje: 54 [10, 2, 7, 6, 1, 5]
Puntaje: 54 [1, 3, 7, 6, 1, 5]
Puntaje: 54 [10, 2, 7, 6, 1, 5]
Puntaje: 54 [10, 2, 7, 6, 1, 5]
Puntaje: 54 [72, 2, 7, 6, 1, 5]
Puntaje: 54 [10, 2, 7, 6, 1, 5]
Puntaje: 54 [10, 2, 7, 6, 1, 5]
Puntaje: 51 [1, 3, 5, 3, 1, 3]
Puntaje: 51 [1, 3, 5, 3, 1, 3]
Puntaje: 34 [10, 2, 0, 6, 1, 5]
Puntaje: 22 [1, 3, 5, 12, 3, 3]
Puntaje: 18 [1, 2, 7, 3, 1, 5]
Puntaje: 12 [10, 2, 7, 6, 1, 2]
Puntaje: 9 [1, 2, 7, 17, 1, 3]
Generation #4
Puntaje: 48 [10, 2, 7, 6, 1, 5]
Puntaje: 48 [10, 2, 7, 6, 1, 5]
Puntaje: 48 [10, 2, 7, 6, 1, 5]
