Generacion,k,e,aa,da,af,df,puntos
0,52,3,3,12,7,9,25
0,1,2,11,6,1,8,24
0,1,2,12,9,6,7,22
0,61,2,10,5,3,8,22
0,11,2,8,5,3,6,13
0,66,4,20,7,9,10,9
0,1,1,0,10,3,1,9
0,76,4,20,10,4,9,9
0,33,3,9,19,1,4,9
0,39,3,5,13,3,10,8
0,61,3,8,2,10,5,7
0,27,1,16,16,7,10,5
0,41,2,9,4,2,8,5
0,90,1,17,14,5,0,4
0,9,1,15,10,8,7,3
0,1,1,0,1,0,7,0
1,1,2,11,6,1,8,30
1,52,3,3,12,7,9,27
1,54,2,8,5,3,6,25
1,52,3,3,10,7,9,15
1,52,3,2,12,9,10,10
1,66,4,20,7,4,1,10
1,61,2,10,5,3,8,9
1,61,2,10,5,3,8,9
1,52,3,3,12,7,9,9
1,1,2,11,9,6,7,7
1,10,1,0,15,3,1,6
1,1,2,12,6,4,7,6
1,52,2,8,5,7,6,4
1,66,3,20,7,7,10,3
1,11,2,8,5,1,8,3
1,66,1,0,10,3,1,3
2,1,2,11,6,1,8,24
2,54,2,8,5,3,6,24
2,52,3,3,12,7,9,24
2,1,2,11,7,1,1,18
2,52,3,2,12,7,9,12
2,61,2,8,5,3,6,12
2,54,2,10,5,3,8,9
2,1,2,11,6,1,8,9
2,54,2,8,5,3,10,9
2,66,4,20,7,4,1,9
2,52,4,12,7,4,1,6
2,52,3,8,7,9,10,6
2,52,3,8,10,7,6,6
2,54,3,8,5,3,6,6
2,52,3,2,12,9,9,3
2,66,4,20,12,4,10,3
3,1,2,11,6,1,8,30
3,54,2,10,5,3,8,25
3,61,2,11,7,1,6,20
3,52,3,2,12,7,9,19
3,52,3,2,12,7,9,13
3,1,3,3,13,7,1,11
3,54,2,3,12,7,9,9
3,54,2,10,20,3,8,9
3,52,2,11,12,7,9,8
3,1,2,11,5,1,8,6
3,1,2,11,6,1,8,6
3,54,2,8,5,3,6,6
3,61,2,11,7,1,1,6
3,52,2,11,7,7,1,3
3,52,3,8,5,7,6,2
3,52,2,3,6,1,8,1
4,54,3,3,12,7,9,27
4,1,2,11,6,1,8,27
4,54,2,10,5,3,8,22
4,54,4,10,5,3,8,18
4,61,2,11,7,1,6,10
4,54,2,3,12,7,9,10
4,61,2,11,7,1,6,9
4,54,2,3,12,7,5,9
4,52,3,2,12,7,9,7
4,54,2,3,12,7,9,7
4,1,3,3,12,7,1,6
4,54,2,10,5,3,8,6
4,54,2,10,5,3,8,6
4,54,2,10,5,3,8,6
4,52,3,11,12,7,9,4
4,52,2,2,12,1,9,2
5,1,2,11,6,1,8,33
5,1,2,11,6,1,8,30
5,61,2,11,7,1,6,18
5,61,2,11,7,1,6,16
5,1,2,11,6,1,8,15
5,61,2,11,7,1,6,12
5,54,3,3,12,7,9,10
5,54,3,10,12,7,9,10
5,54,2,10,12,7,9,8
5,54,3,3,12,7,9,7
5,54,3,3,12,3,8,5
5,54,2,3,12,7,9,3
5,54,4,10,7,1,8,3
5,54,2,11,7,1,6,3
5,54,2,3,12,7,9,3
5,54,4,3,5,7,8,0
6,54,3,11,7,5,9,36
6,1,2,11,6,1,8,21
6,1,2,11,6,1,8,21
6,1,2,11,6,1,8,18
6,1,2,11,6,1,8,15
6,1,2,11,6,1,8,12
6,61,2,11,7,1,8,9
6,20,2,11,7,1,8,9
6,61,2,11,6,1,6,9
6,54,2,11,12,7,9,9
6,61,2,7,12,7,9,9
6,61,2,11,7,1,8,6
6,61,2,11,7,1,6,3
6,61,3,11,7,10,9,3
6,61,2,11,7,1,6,0
6,1,2,11,7,1,6,0
7,54,2,11,7,5,9,33
7,54,3,11,7,5,9,33
7,1,2,11,6,1,8,18
7,1,2,11,6,1,8,15
7,1,2,11,6,1,8,15
7,1,2,11,6,5,8,12
7,1,2,11,6,1,8,12
7,1,2,11,6,1,8,12
7,1,2,11,6,1,8,9
7,26,2,20,7,1,8,6
7,61,2,11,7,1,8,6
7,61,2,11,7,1,8,3
7,61,2,11,7,1,8,3
7,1,2,11,6,6,8,3
7,1,2,11,1,1,8,0
7,61,2,11,6,1,0,0
8,1,2,11,6,5,9,33
8,1,2,11,7,5,8,24
8,1,2,11,6,5,8,24
8,1,3,11,7,5,9,18
8,54,3,11,7,5,9,15
8,54,2,11,7,5,9,15
8,1,2,11,7,5,8,15
8,1,2,11,6,3,8,12
8,51,2,11,7,1,8,6
8,1,2,11,6,1,8,3
8,1,2,11,6,1,8,3
8,1,2,11,6,1,8,3
8,1,2,11,6,1,8,3
8,1,2,11,6,1,8,3
8,7,2,11,6,1,8,3
8,1,2,11,0,5,8,0
9,1,2,11,7,5,9,24
9,1,2,11,6,5,9,24
9,75,2,11,7,5,9,24
9,1,2,11,7,5,9,22
9,1,2,11,6,5,9,15
9,54,2,11,7,5,9,15
9,1,2,11,6,5,9,13
9,1,3,11,7,5,9,9
9,8,2,11,7,5,8,6
9,1,2,11,7,8,8,6
9,1,2,11,7,5,8,6
9,1,2,11,7,5,8,3
9,1,2,11,6,5,8,3
9,1,2,11,7,5,8,3
9,1,2,11,7,5,8,3
9,9,2,2,6,5,7,2
10,54,1,11,7,5,9,27
10,1,2,11,6,4,9,24
10,1,2,11,6,5,9,21
10,1,2,11,6,5,9,12
10,1,2,11,6,5,9,12
10,75,2,11,7,5,9,12
10,1,2,11,6,5,9,9
10,1,2,11,6,5,9,9
10,1,2,11,15,5,9,9
10,31,2,11,6,5,9,9
10,1,2,11,11,5,9,9
10,1,2,11,7,5,9,9
10,1,2,11,7,5,9,6
10,1,2,11,7,5,9,6
