Generacion,k,e,aa,da,af,df,puntos
0,52,3,3,12,7,9,25
0,1,2,11,6,1,8,24
0,1,2,12,9,6,7,22
0,61,2,10,5,3,8,22
0,11,2,8,5,3,6,13
0,66,4,20,7,9,10,9
0,1,1,0,10,3,1,9
0,76,4,20,10,4,9,9
0,33,3,9,19,1,4,9
0,39,3,5,13,3,10,8
0,61,3,8,2,10,5,7
0,27,1,16,16,7,10,5
0,41,2,9,4,2,8,5
0,90,1,17,14,5,0,4
0,9,1,15,10,8,7,3
0,1,1,0,1,0,7,0
1,52,3,3,12,7,9,25
1,1,2,11,6,1,8,22
1,11,2,10,5,3,8,21
1,1,2,12,9,6,7,21
1,52,3,3,12,7,9,13
1,61,1,0,10,3,8,13
1,61,2,8,5,3,6,12
1,1,1,8,6,3,6,9
1,1,2,11,6,1,8,9
1,52,3,3,12,7,9,6
1,66,4,11,6,1,8,6
1,1,1,20,10,9,4,6
1,1,2,0,5,3,8,6
1,1,2,11,6,9,10,5
1,1,2,12,9,6,7,3
1,66,4,0,11,9,10,0
2,1,2,11,6,1,8,31
2,52,3,3,12,7,9,21
2,52,3,3,12,7,9,21
2,61,2,12,1,6,7,10
2,1,2,11,9,6,8,10
2,52,3,3,5,1,6,10
2,11,2,10,5,2,8,9
2,11,2,3,5,3,9,9
2,52,3,0,12,7,8,9
2,1,2,12,9,6,7,9
2,61,2,8,12,7,6,7
2,11,2,10,5,7,8,7
2,31,1,0,9,3,8,6
2,52,2,8,17,3,3,6
2,61,1,3,12,7,9,5
2,52,3,11,12,7,9,4
3,1,2,11,6,1,8,30
3,52,3,3,12,7,9,27
3,52,3,3,12,7,9,22
3,52,3,3,12,7,9,12
3,1,3,11,6,1,8,12
3,1,2,11,6,1,9,12
3,11,2,10,5,2,8,9
3,52,2,11,5,6,6,9
3,1,2,11,9,9,9,9
3,52,2,3,5,1,6,9
3,52,2,11,9,7,8,8
3,11,2,10,5,2,8,6
3,52,3,11,9,1,6,6
3,61,2,10,5,2,8,6
3,11,2,3,5,7,9,1
3,52,2,3,1,6,6,0
4,1,2,11,6,1,8,27
4,52,3,3,12,7,9,21
4,55,2,12,6,7,8,21
4,52,3,3,12,7,9,18
4,1,2,11,6,1,7,12
4,11,2,10,5,1,9,12
4,52,3,3,12,7,9,12
4,1,2,11,6,1,8,12
4,52,3,3,12,2,9,9
4,11,2,3,12,2,9,9
4,52,3,3,12,7,9,6
4,52,2,3,6,7,9,6
4,1,3,11,6,1,8,6
4,1,3,11,6,1,8,6
4,52,3,3,16,7,9,3
4,11,3,10,6,1,8,0
5,1,2,11,6,1,8,27
5,1,2,11,6,1,8,24
5,55,2,12,6,7,8,24
5,52,3,12,6,7,8,18
5,1,2,12,6,1,8,15
5,11,2,10,7,1,9,12
5,52,3,3,12,7,9,9
5,52,3,3,12,7,9,9
5,52,3,3,12,7,9,9
5,52,3,3,12,7,9,9
5,11,2,10,8,1,9,9
5,1,2,17,6,1,8,6
5,52,3,3,12,7,9,6
5,1,3,3,12,7,7,3
5,55,3,3,6,7,9,0
5,1,3,3,6,7,9,0
6,1,2,12,6,7,8,24
6,1,2,12,6,1,8,24
6,55,3,12,6,7,8,21
6,1,2,11,6,1,8,21
6,40,2,10,7,1,9,12
6,55,2,11,6,1,8,12
6,1,2,11,6,1,8,12
6,1,2,12,6,1,8,12
6,1,2,11,6,7,8,12
6,11,2,5,7,1,9,9
6,1,3,3,12,7,8,9
6,1,2,3,6,1,9,6
6,52,3,8,6,7,8,3
6,1,2,12,2,1,8,3
6,52,2,0,6,1,8,0
6,52,2,4,6,7,8,0
7,1,2,11,6,1,8,24
7,40,2,10,6,1,8,21
7,55,3,12,6,7,8,18
7,1,2,12,6,1,8,18
7,40,2,12,7,1,8,15
7,1,2,11,6,1,8,12
7,92,2,11,6,7,8,9
7,1,2,12,6,7,8,9
7,55,2,12,6,1,8,9
7,1,2,11,6,7,8,9
7,1,2,12,6,1,8,9
7,53,4,12,6,6,8,9
7,55,2,11,6,1,9,9
7,1,2,10,7,1,8,6
7,1,3,11,6,1,8,3
7,1,3,11,17,1,8,0
8,40,2,10,6,1,8,24
8,55,3,12,6,7,8,24
8,1,2,12,6,1,7,21
8,55,2,12,6,7,8,18
8,1,2,12,6,1,8,12
8,1,2,11,6,1,8,12
8,92,2,8,7,7,8,12
8,40,2,12,7,1,8,9
8,40,2,11,6,7,8,9
8,40,2,10,7,1,8,9
8,92,2,11,6,7,8,9
8,1,2,12,6,1,8,9
8,1,2,11,6,1,8,9
8,1,1,12,6,1,8,3
8,1,2,11,6,1,0,0
8,40,3,12,6,1,8,0
9,40,2,10,6,4,8,34
9,55,3,11,6,7,8,18
9,55,3,12,6,7,8,18
9,55,3,12,6,7,8,18
9,55,3,12,6,7,8,12
9,92,2,8,7,7,8,9
9,1,2,12,6,1,7,9
9,1,2,11,6,1,8,9
9,55,3,12,6,7,8,9
9,40,2,10,6,1,8,9
9,1,2,12,14,1,8,9
9,1,2,12,6,1,8,9
9,92,2,8,7,1,8,6
9,1,2,12,6,1,8,6
9,92,2,8,7,7,8,3
9,1,2,1,6,1,7,1
10,40,2,10,6,4,8,30
10,40,2,11,6,4,8,30
10,92,2,12,7,7,8,24
10,40,2,10,6,7,8,12
10,55,3,12,6,7,8,9
10,1,3,12,6,1,7,9
10,55,3,11,6,4,8,9
10,55,3,12,6,7,8,7
10,92,2,12,6,7,7,7
10,55,2,11,6,7,8,6
10,55,3,12,16,7,8,6
10,55,3,11,6,7,8,6
10,55,3,12,6,7,8,6
10,1,2,12,6,7,7,6
